@relation veh-prime-edited

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute Class {noncar,car}

@data
0.159,1.496,1.381708,-0.035422,1.351404,-1.017305,-0.004695,-0.227385,-1.81701,-0.079556,-0.962385,-0.007001,0.016535,2.397923,-1.770348,-0.612208,2.466568,-0.021605,-0.056891,1.144819,2.387742,-0.616837,2.53245,0.466808,-0.184869,1.970633,1.675582,0.984742,-0.508712,-0.106518,0.31418,-0.176498,-1.306462,-0.280635,-1.612135,-0.027606,noncar
-0.254,0.039,0.040253,-0.717545,0.041178,0.068194,-0.521322,-0.092549,0.637293,0.102149,0.149006,-0.025921,-0.014591,-0.778156,0.642015,-0.729701,-0.637681,-0.025575,-0.049839,-0.110047,-0.711926,-0.008498,-0.730422,0.878673,0.013269,0.158667,-0.809613,0.052028,0.911718,-0.901441,-0.370058,0.13661,0.777201,0.025715,0.812837,-0.603493,noncar
0.902,0.282,0.709704,-0.060014,1.062882,0.245148,0.061331,0.587706,-0.323275,0.034499,-0.529782,-0.575449,0.871707,1.34643,-1.220943,-0.114581,1.258937,-0.697896,-0.029692,0.285609,1.267442,0.824896,1.421973,-0.48635,-0.168593,1.103958,0.567821,0.012507,0.189627,0.566067,0.099661,1.685807,-0.204596,0.140685,-0.955945,0.220234,noncar
0.632,-0.082,0.490776,0.008532,0.201862,0.007385,-0.626008,-0.613014,0.22886,0.637067,0.49336,-0.38322,-0.117275,-0.327048,0.295371,-0.016247,-0.207734,0.043403,0.009799,1.276175,-0.539547,-0.167328,-0.444083,-0.018852,0.071004,0.511004,0.131686,0.003805,0.319035,0.015055,0.314762,0.260453,-0.655297,0.128631,-0.152616,-0.879316,noncar
-0.085,-0.69,-0.831799,0.673877,-0.255601,-0.654933,-0.31266,0.503436,1.481805,-0.103239,-0.571043,0.034957,-0.848426,-0.379805,0.088204,0.887284,-0.18932,-0.018786,0.011651,-0.948335,-0.093181,0.018961,-0.348099,-0.293862,-0.59482,-0.804638,0.097419,0.344187,-1.16924,0.141965,0.061279,-0.153186,0.634563,0.133801,0.17356,-0.883983,noncar
0.031,-1.175,-0.930174,-0.778782,0.607787,0.000032,0.198617,0.378054,-0.216111,-0.069803,-0.313579,-0.41823,-0.767888,0.299714,-0.53299,-0.26728,0.146743,-0.287826,-0.659458,-1.17795,0.627087,-0.712378,0.187441,-0.134054,0.776412,-0.946459,-0.271599,0.123925,-0.437761,0.008655,-0.033326,2.86483,0.095515,-0.129376,0.264742,0.276213,car
0.382,-0.568,-0.155731,-0.065039,-0.652063,-1.089335,0.54268,-0.238961,0.649297,-1.01938,-0.31084,0.009316,-0.344492,-0.746769,0.702757,0.064497,-0.627439,0.039522,-0.00064,-0.247361,-0.649975,0.079504,-0.639123,0.066646,0.058185,-0.184829,-0.404497,-0.024728,0.965033,0.07254,0.006271,-1.356117,0.362902,0.037035,0.283832,-0.796645,noncar
-0.042,-0.082,-1.303688,0.064948,-0.58861,0.052109,-0.770405,0.084768,0.850595,0.388633,-0.290657,-0.05599,-0.070064,-0.563759,0.227609,0.103534,-0.638476,-0.360496,0.044106,-1.11308,-0.336228,0.010938,-0.519162,0.35759,0.00062,-1.173857,-0.566351,0.010415,-1.153534,-0.531038,-0.120033,1.067577,1.155924,0.13033,1.250536,0.012947,noncar
-0.076,-0.568,-0.082525,0.132587,-0.830104,0.827304,-0.629492,-0.92074,-0.480467,0.015763,-0.572721,-0.22591,-0.078179,-0.944581,1.016108,0.004674,-1.042933,-0.057737,-0.067883,-0.17009,-0.676579,0.096427,-0.95694,-0.048429,-0.009479,-0.180638,0.729585,-0.232768,0.77588,-0.631501,0.066512,-1.11785,-0.482626,0.058954,-1.129241,-0.528477,noncar
0.105,1.011,1.547778,0.317471,1.527113,0.517813,0.017625,1.531079,0.700547,-0.1198,0.457956,0.441964,0.007666,1.15165,-1.129742,-0.208738,1.389691,-0.06473,0.048663,1.056323,1.260036,0.192053,1.166277,0.040187,-0.393271,1.906247,-0.185598,0.845005,-1.31887,0.015432,0.032743,1.472665,0.065461,0.275043,0.549279,0.061113,car
-0.692,-1.904,-1.420869,-0.048297,-1.34832,-0.088926,-0.708933,-1.562731,-0.738348,0.027304,-0.591947,-0.687174,-0.008499,-1.391003,1.771741,-0.111933,-1.34033,-0.082187,0.087099,-1.661077,-1.496299,-0.016166,-1.259123,0.017483,-0.0447,-1.581662,0.855715,-0.006125,-0.590308,0.010792,0.01772,0.49741,-1.725096,0.690693,-1.406906,-0.891545,car
-0.336,-0.325,-0.486711,0.221444,-1.051693,0.895844,0.701754,0.017034,0.552697,0.019244,-0.314306,0.162422,-0.059728,-0.745892,0.357441,0.044558,-0.604958,-0.009585,-0.037824,-0.485278,-0.556675,-0.01513,-0.703701,0.057575,0.169866,-0.397306,-0.750081,0.101744,-0.499629,0.200205,-0.804164,-1.445039,1.98953,-0.013099,1.586049,0.059628,noncar
0.01,-1.175,-1.572281,-0.615142,-1.86253,-0.015209,0.036267,-1.341034,-0.614059,0.01772,-0.955801,0.222721,-0.398426,-1.631084,2.293142,0.039938,-1.436154,-0.002263,0.452141,-1.773936,-1.776161,0.075373,-1.277264,-0.01266,0.992503,-1.49914,0.487868,0.034415,0.809099,0.518182,0.022412,1.682271,-0.957431,0.004442,-0.835932,0.266244,car
0.201,1.132,0.225473,-0.68452,1.492823,-0.077925,-0.838129,1.202828,0.547241,0.677132,0.422252,-0.189257,0.100718,1.00033,-0.950395,-0.525134,0.911646,-0.638236,-0.285687,0.012522,0.904783,0.010111,0.926026,0.061187,-0.108976,0.988388,-0.241033,-0.051848,0.421172,0.326337,0.47015,-0.327518,0.339393,0.222894,0.361126,0.152126,car
-0.419,0.768,-0.594469,-0.080039,-0.465573,0.841415,-0.565859,0.98431,1.261906,-0.149865,-0.769141,0.301802,-0.028077,0.202925,-0.730636,-0.486098,0.213605,-0.08474,-0.791138,-0.702469,0.535233,-0.054284,0.237001,-0.094882,0.121298,-0.831175,-0.072614,-0.371283,0.04061,-0.144135,0.119974,0.771074,1.32407,0.477773,0.163688,-0.129859,noncar
-0.083,-0.325,-0.536668,0.044982,-0.098519,0.106817,-0.319176,0.650507,0.966984,-0.313427,-0.762769,0.129411,0.346342,0.043112,-0.389294,-0.678631,-0.174912,-0.004432,0.085775,-0.772371,-0.187345,0.048079,-0.002885,-0.291271,0.613495,-0.594777,-0.609331,1.090654,-0.755329,-0.013555,-0.522733,1.16097,1.59964,0.037094,1.096441,-0.033603,noncar
-0.001,0.525,0.005099,0.21353,-0.453502,0.635291,0.230095,-0.051442,-0.147675,0.033016,-0.349865,0.464584,0.969867,-0.368626,0.197266,-0.02057,-0.09096,0.134749,-0.01734,0.082753,-0.182316,-0.082813,-0.397841,-0.035017,0.067586,0.443283,-0.451669,0.01297,1.344202,-0.000151,0.136237,-0.284684,0.153629,-0.135699,0.130317,0.237008,car
0.133,0.889,1.012957,-0.116609,1.522048,0.073796,-0.017271,1.273084,0.730262,-0.179281,0.290714,-0.434376,-0.043018,1.222582,-1.16927,0.024253,1.362291,-0.054857,-0.032179,0.951576,1.115645,0.031091,1.309515,0.011319,-0.444726,1.489814,0.042588,-0.492138,-0.155954,-0.031471,-0.001683,1.259628,-0.459416,-0.189076,-0.053979,-0.025403,car
-0.033,-0.447,-1.404889,0.062981,-0.357588,0.098339,0.064564,0.357899,0.292482,0.974851,-0.083911,-0.055762,0.02018,-0.375483,0.204082,0.069004,-0.603483,-0.220534,-0.537944,-1.565124,-0.215674,-0.064385,-0.307252,0.009981,-0.165714,-1.082915,-0.86909,-0.140155,-0.994596,0.030215,0.747994,0.855878,0.497862,-0.150978,0.369872,0.0334,car
-0.238,0.403,0.557039,0.028575,0.708646,-0.147509,0.319705,0.881672,0.232572,0.247466,0.111674,-0.091271,0.353484,0.389759,-0.756139,0.069145,0.161474,0.253914,-0.075328,0.503411,0.290052,0.092446,0.335642,-0.1624,-0.360885,0.508001,-1.132888,-0.004352,2.717014,-0.011266,0.418751,-0.203403,1.645317,-0.100697,1.044256,0.45857,car
0.002,-0.811,-0.750081,0.645672,-0.051813,-0.07164,0.151538,-0.244453,0.757621,0.087556,0.300636,-0.160362,-0.107706,-0.690618,0.569134,-0.205371,-0.700725,-0.795486,0.811525,-0.685342,-0.704563,-0.265198,-0.765361,-0.018557,-0.020269,-0.652467,-0.284062,-0.347272,-1.34801,0.102461,0.799451,0.01249,0.06874,0.019093,0.494662,-0.496883,noncar
0.001,-0.082,-0.358716,-0.206388,-0.335422,0.053797,0.133845,-0.54188,-0.498253,0.838728,-0.394985,-0.081364,0.271266,-0.533547,0.355581,0.925435,-0.56888,0.963521,-0.915643,-0.349762,-0.489717,0.543085,-0.566193,0.421824,-0.288486,-0.023485,-0.436925,0.144281,1.52639,0.219412,-0.060189,-1.445802,0.026816,0.051116,-0.243929,0.024129,car
-0.195,1.618,1.607629,-0.695592,0.99857,-0.15963,0.505443,0.85763,-0.405745,-0.21348,-0.347153,0.573133,-0.077311,2.152862,-1.838889,0.053441,2.005857,-0.036616,0.426948,1.410796,2.209372,0.200928,2.330771,-0.012181,0.071364,2.205267,0.978089,-0.828147,-0.733664,-0.051107,0.1634,-1.225828,-0.461652,0.277351,-1.54915,-0.813937,noncar
0.388,-0.204,-1.335071,0.022289,0.233838,0.56622,-0.058209,-0.160632,-0.247844,-0.022365,-0.360549,-0.020573,0.420115,-0.409213,0.087115,-0.187283,-0.228954,-0.00734,0.022729,-1.142985,-0.256041,-0.002183,-0.342389,-0.246202,0.034649,-0.906141,-0.595806,0.751558,0.549149,-0.29562,0.29911,0.98672,0.133671,-0.053891,0.06327,-0.183264,car
-0.074,-0.932,-0.211776,0.184865,-1.017526,0.045344,-0.134428,-1.05981,-0.646339,0.053498,-0.278241,-0.841264,0.226206,-0.513087,0.411064,0.784079,-0.627787,0.101615,0.047424,-0.38433,-0.414474,0.650668,-0.513962,-0.017747,-0.00674,-0.115018,1.197339,0.056179,-0.109037,0.039643,-0.080544,0.129964,-1.325988,-0.180306,-1.476271,-0.395289,noncar
-0.016,1.618,1.81402,-0.674576,1.375934,-0.002789,-0.036496,1.758463,1.070788,0.31695,0.576356,-0.033559,-0.177185,1.486924,-1.341681,-0.242865,1.729962,0.057269,-0.023347,1.690234,1.109205,0.142199,1.524171,0.13212,-0.001628,1.360077,-0.124427,0.618238,2.48849,0.046208,1.031437,-0.174325,0.023406,0.01179,0.098919,-0.033718,car
-0.036,-1.418,-0.112342,-0.003247,-0.596163,-0.011999,-0.293347,-0.534179,0.331946,-0.03064,-0.392116,-0.145289,0.58037,-0.398238,0.395286,0.311687,-0.575645,-0.001176,-0.726676,-0.353109,-0.285598,-0.10343,-0.436877,0.057441,0.252339,0.052628,1.06973,0.052379,-1.283509,0.199437,-0.24183,0.470188,-0.946602,-0.056379,-1.181992,-0.005152,noncar
-0.669,-1.54,0.235651,0.349238,-0.727144,0.022506,0.019785,-1.116057,-0.785729,0.662764,-0.282642,0.02679,-0.780951,-0.475001,0.393585,-0.269961,-0.567761,0.534967,-0.191615,-0.028986,-0.532059,0.031139,-0.536533,0.831562,-0.084574,0.544943,1.102031,0.412615,-0.677568,0.821585,0.563117,0.16288,-1.393561,-0.108043,-1.336693,-0.008102,noncar
0.196,-1.418,-0.15645,0.804641,-0.689271,0.030892,0.035705,-0.976647,-0.146647,-0.194596,-0.369599,0.015018,-0.860765,-0.613859,0.62636,-0.422474,-0.575481,-0.076385,0.530391,-0.307387,-0.511516,0.031954,-0.735088,0.010458,0.255558,0.297204,1.074209,-0.017018,-0.056335,0.012253,-0.343807,0.475494,-1.357668,0.076923,-1.390489,0.810873,noncar
0.861,-0.082,0.28945,0.032921,0.161367,-0.656019,-0.004213,-0.26117,0.547478,-0.167247,0.535657,0.095902,0.710376,-0.348823,0.489016,0.10726,-0.217961,0.076248,0.042226,0.617695,-0.605199,-0.473512,-0.496702,0.125647,0.588883,0.168593,0.255932,0.271039,0.192039,-0.192418,-0.063456,0.367188,-0.927613,0.130887,-0.061638,-0.178181,noncar
-0.016,-0.447,-1.457326,-0.206443,-0.508187,-0.155577,0.224625,0.112751,-0.218702,0.372462,-0.062863,0.085186,0.127081,-0.389129,0.104934,-0.035153,-0.573291,0.744943,-0.363811,-1.309151,-0.304302,-0.069706,-0.35028,-0.040647,-0.145758,-1.53321,-1.610042,-0.061294,-0.093331,-0.205743,0.155638,0.954293,1.345867,-0.038361,1.248981,-0.341261,car
0.003,2.104,1.473593,0.312069,1.387461,0.496474,-0.072353,-0.010077,-1.454858,0.426256,0.477762,-0.972476,0.06454,1.553741,-1.305301,0.505537,1.727624,0.812841,0.06959,1.667605,1.220494,-0.017862,1.519297,-0.338471,-0.006913,0.75649,-0.451594,0.103977,1.738574,-0.893779,0.003421,-0.726274,0.116958,-0.414764,0.32776,0.029795,car
-0,1.132,1.718072,-0.414824,1.215994,0.412806,-0.381295,0.681819,0.030556,-0.27821,0.53702,-0.144862,-0.18972,1.300072,-1.315843,-1.061257,1.279542,0.117947,0.939531,1.884947,0.935751,-0.072587,1.297116,0.084031,-0.023544,1.338786,0.101179,-0.294325,0.683435,-0.007784,0.097962,0.22872,-0.31125,0.028321,-0.239595,-0.095661,car
-0.02,-0.568,-0.74452,0.048448,-1.546971,0.027722,-0.121383,-0.972083,-0.484013,-0.056867,-0.397524,0.349125,0.083473,-1.462348,1.687501,-0.098631,-1.343698,0.228944,0.470184,-0.496025,-1.332878,-0.259209,-1.278116,0.005478,-0.797695,-0.756129,-1.268874,-0.049721,0.118683,-0.413287,0.024201,-0.884888,1.761421,-0.09631,1.438677,-0.081479,noncar
0.147,-0.811,0.292645,0.194312,-0.142209,-0.966588,0.134847,-0.556575,-0.020728,1.041878,-0.003065,-0.472943,-0.060937,-0.486945,0.527149,-0.005924,-0.624474,-0.823056,0.060163,0.294698,-0.502902,-0.539978,-0.530955,-0.97105,0.519593,0.164863,-0.021225,0.063928,-1.327868,-0.023935,0.352264,-0.67847,-0.168929,-0.135969,0.302858,-0.099585,noncar
-0.425,-0.204,0.217211,0.440363,-0.265193,0.674628,-0.080561,0.226006,0.305073,0.711359,-0.07367,-0.7662,-0.081137,-0.179734,-0.042498,-0.010359,-0.200315,-0.077548,0.035039,0.127304,-0.194287,-0.006857,-0.32557,0.031286,-0.063035,0.101225,-0.75225,0.604198,-0.924062,-0.063437,0.015121,-0.326213,0.249649,-0.789516,0.367098,0.07369,car
-0.493,-1.054,-0.427256,0.526489,-1.040734,-0.666398,1.06739,-1.391462,-0.974409,0.674849,-0.339589,-0.262876,0.242807,-0.660844,0.676137,0.630547,-0.569937,-0.790626,-0.018954,-0.090493,-0.603386,-0.163319,-0.779367,-0.273112,0.317594,-0.074318,1.692668,0.146723,-1.107951,-0.77204,0.620278,-0.775249,-1.606775,0.356464,-1.847903,-0.214041,noncar
-0.235,-0.932,0.130932,-0.739587,-0.786143,0.264603,0.044428,-0.618182,0.450108,1.015904,-0.164118,-0.151097,0.179949,-0.667708,0.575495,0.107853,-0.626057,0.430898,-0.410902,-0.100991,-0.534528,-0.219787,-0.569848,0.040515,-0.176835,0.364531,0.645905,-0.048792,-0.156164,-0.792447,-0.102393,-0.765292,-1.04974,0.417836,-1.008211,-0.250551,noncar
0.633,0.889,1.799574,-0.020356,1.158895,0.227574,0.015974,-0.036609,-0.839389,-0.752761,0.449672,-0.058709,-0.039816,1.364337,-1.245817,-0.152739,1.271126,0.97252,0.015655,1.905377,0.954209,0.310935,1.406339,-0.108176,-0.022685,1.608364,0.328815,-0.338172,-0.829443,-0.052654,-0.108065,-1.0566,-0.641166,0.003082,-0.500314,0.046617,car
-0.41,0.039,-1.04252,-0.058361,0.533864,-0.263479,-0.470439,0.692143,0.106679,-0.843029,0.073926,0.403842,0.141492,0.075758,-0.382352,0.036606,0.212558,0.26291,0.48123,-0.956005,-0.049589,0.373311,-0.018538,0.442868,-0.215009,-1.644006,-1.254683,0.138923,-0.442344,-0.796536,0.810466,1.124343,1.963747,-0.223243,1.662835,0.054686,car
0.181,-0.932,-1.257476,-0.338459,-0.864006,-0.095814,0.723742,-0.581843,0.235575,-0.065574,-0.055891,0.370446,0.259083,-1.005548,0.966191,0.051556,-1.010626,-0.02834,0.236097,-0.998472,-0.836864,-0.06024,-0.895864,0.120737,0.069329,-1.525969,-0.312034,0.044049,-1.088976,0.151586,0.005653,-0.705529,0.030722,0.892622,-0.195407,0.149963,noncar
0.872,-0.447,-0.641785,0.073008,-0.712729,-0.095528,0.78914,0.031656,0.726754,-0.464726,-0.320877,-0.090599,0.039496,-0.65304,0.421858,0.278612,-0.611845,0.021307,0.020132,-0.668309,-0.406921,-0.058285,-0.6639,-0.511227,-0.732923,-0.671676,-0.176857,0.037407,-0.677876,-0.972519,0.013472,0.553622,0.547081,-0.301598,0.201488,0.605291,noncar
0.833,1.253,0.6035,0.092537,0.40897,0.034235,-0.035452,-0.042991,-0.946248,0.001697,-1.011638,0.010594,0.357139,1.298899,-1.260394,0.036706,1.362897,-0.02659,-0.101423,0.327613,1.565745,0.06204,1.353214,0.168904,0.984122,0.694002,0.688992,0.007531,-1.105632,0.352989,0.101647,1.15814,0.194076,0.154915,-0.876946,-0.082528,noncar
-0.225,-0.568,-1.470909,0.212548,-0.694796,0.165535,-0.079553,-0.811227,-0.762755,0.49841,-0.374601,-0.257529,0.129797,-0.951272,0.747272,-0.157953,-1.024752,-0.034874,-0.111665,-1.500234,-0.867079,0.097251,-0.83535,-0.403093,-0.006503,-1.377148,0.007626,-0.043395,-1.096027,-0.007888,-0.03226,-1.300921,-0.299566,-0.03416,-0.541926,0.427295,car
-0.078,-0.447,-0.938002,0.040641,0.287988,-0.075037,-0.474431,-0.026664,0.012906,-0.438578,-0.335709,-0.002832,-0.045363,-0.185976,-0.011798,-0.082071,-0.221521,-0.001357,-0.521236,-1.085717,0.194614,0.699427,-0.28618,0.037127,0.009516,-0.854354,0.200811,0.011461,-1.13012,-0.031398,-0.043969,1.085815,-0.644321,-0.95083,-0.615178,-0.00608,car
0.049,-1.175,-0.167647,-0.41253,-0.269715,-0.016064,-0.026535,-0.59562,-0.304029,0.983132,-0.852365,-0.01596,0.210516,-0.512862,0.426348,0.434221,-0.588245,1.00612,-0.468793,-0.336712,-0.469406,-0.32949,-0.55314,0.362423,-0.055253,0.051167,0.576523,0.309493,0.296434,-0.021983,-0.109543,-1.24038,-1.0064,-0.156138,-1.186446,0.730811,car
0.178,1.253,1.981976,0.581196,1.232313,0.055642,0.083847,1.407958,0.948125,-0.546774,0.59624,0.024616,0.025025,1.564042,-1.471029,-0.001069,1.651882,-0.673694,-0.242974,1.857644,1.324707,-0.256733,1.479584,0.083678,0.019266,1.381279,0.026737,-0.459311,-0.491171,0.039291,-0.129266,-1.072967,-0.431765,0.082861,0.048666,0.144477,car
0.593,-1.297,-0.112367,0.192656,-0.843914,-0.020169,0.260353,-0.754744,-0.066103,-0.013903,-0.097841,0.032579,-0.010675,-0.748518,0.353426,-0.415239,-0.648851,-0.159921,-0.062297,-0.298556,-0.617527,0.003612,-0.598117,-0.001214,-0.190466,0.12554,0.244091,0.896115,-1.036415,-0.148068,0.017436,-1.233604,-0.650767,0.057568,-0.627576,0.216935,noncar
0.672,-1.054,-0.992022,-0.111069,-1.602798,0.768965,-0.130455,-1.253381,-0.726539,0.954039,-0.498282,-0.078806,0.84679,-1.619903,2.126585,-0.032798,-1.384972,-0.375719,-0.019138,-0.923462,-1.680941,0.871395,-1.296834,0.031769,-0.048649,-0.945696,-1.143531,-0.086692,2.112321,-0.277341,-0.018758,-0.588658,1.26148,0.160518,0.720745,-0.053705,noncar
0.146,0.646,1.627386,-0.011776,1.208181,0.746873,0.373514,1.115915,0.047852,0.42849,0.934825,0.963664,0.394176,1.558323,-1.424442,-0.015171,1.749609,0.408612,0.230682,2.284719,1.156654,-0.537793,1.668001,-0.164031,-0.021973,1.168646,-0.181544,0.779177,-0.832023,-0.062186,-0.24747,-1.153734,-0.388123,0.159707,0.004822,-0.072141,car
0.005,-0.69,-0.032766,0.442711,0.194893,-0.048387,-0.073277,-0.807983,-0.778707,0.673503,0.571741,-0.476392,-0.096921,-0.402798,0.163986,-0.005572,-0.309887,0.386338,-0.045744,0.51209,-0.475005,0.317727,-0.503515,0.154068,-0.059611,0.079522,0.471708,-0.254532,-0.296645,-0.011078,0.570549,0.422023,-0.806651,0.126538,-0.115741,-0.717679,noncar
0.165,0.768,0.839055,0.151514,-0.134327,0.261372,-0.173155,0.827025,0.640364,-0.05519,-0.523605,0.051494,-0.960994,0.564152,-0.926931,0.00185,0.577995,-0.535558,-0.940847,0.656577,0.52759,0.017339,0.526084,0.083695,-0.021055,0.728962,0.214336,0.042262,-0.090957,-0.022119,0.776511,-1.236044,1.247348,-0.001348,0.323614,0.866375,noncar
0.622,-1.54,-0.182341,0.674569,-0.655544,0.346758,0.447298,-0.906363,-0.185412,-0.210188,-0.634653,0.326588,0.619166,-0.572394,0.393057,-0.200572,-0.571642,-0.023009,-0.077213,-0.16374,-0.299761,-0.133867,-0.567462,-0.486634,0.014538,0.051529,1.179709,-0.096747,-1.052872,0.047422,0.13724,0.2292,-1.079164,0.021288,-1.277909,0.065795,noncar
0.001,-0.932,-0.622977,-0.424385,-1.069546,0.187677,0.967116,-1.126007,-0.781491,0.047067,-0.550552,0.886518,-0.734507,-0.992405,0.967699,0.578945,-1.023388,-0.9136,-0.106501,-0.795864,-1.032911,-0.129132,-0.954772,0.23041,0.233374,-0.469151,0.235541,0.696579,-0.236073,0.128273,0.923109,0.075108,-0.968961,0.019138,-0.854474,-0.254212,car
0.309,-0.082,-0.692929,0.248133,-0.100237,-0.250489,0.446841,-0.295861,0.133553,-0.114203,-0.107244,-0.435433,-0.049474,-0.765092,0.602452,0.004784,-0.621726,0.047823,-0.139361,0.160464,-0.835342,0.050001,-0.717054,-0.131275,0.329193,-1.277991,-0.757888,0.189884,-0.505295,0.183796,0.000638,-0.432818,0.961091,-0.735045,1.019276,0.020572,noncar
-0.001,1.618,1.537637,-0.218255,1.118292,-0.018427,-0.273949,1.261141,0.582781,0.031663,0.500254,0.153879,-0.104257,1.538751,-1.218112,0.084059,1.233338,-0.005755,0.314983,1.367505,1.073696,-0.093297,1.6374,-0.109293,0.792007,1.255752,-0.135653,-0.311748,1.495895,-0.279124,0.123246,-1.387675,-0.068957,-0.244786,0.104899,0.07907,car
-0.172,0.039,-1.579485,0.012921,-1.015798,-0.028587,0.739469,-0.692015,0.036205,0.089226,0.075991,-0.978001,0.961149,-1.211075,1.139549,-0.116494,-0.962216,-0.066758,-0.021563,-1.501856,-0.944398,0.306276,-1.010123,0.058554,0.056213,-1.891826,-0.99606,-0.098511,0.204668,-1.033046,-0.105616,-0.725498,1.206301,0.011287,0.795048,0.339946,noncar
0.071,1.375,1.53529,0.588098,1.457052,-0.782016,0.671454,1.373516,0.757038,0.070512,0.332809,0.034469,-0.086565,1.195511,-1.216851,-0.070777,1.284512,-0.461134,0.01248,1.221752,0.859526,-0.356935,1.136652,-0.013634,0.4153,1.322629,-0.542523,0.011681,1.53408,-0.087832,-0.256839,1.160736,0.033585,0.042335,0.503483,-0.01666,car
0,-0.932,-0.580891,0.179309,-1.089197,0.027582,-0.196332,-0.590072,-0.073862,0.090455,-0.776896,0.385639,0.252249,-0.543326,0.528628,-0.957343,-0.601093,0.294285,0.030134,-0.672282,-0.735325,-0.136873,-0.626965,0.407852,0.014203,0.001156,0.998468,0.256994,-0.259147,0.107401,-0.228502,-0.427874,-1.092855,-0.08103,-1.41821,0.654922,car
0.685,-1.054,-1.578485,0.025733,-2.2345,-0.016081,0.173336,-1.767345,-0.784482,0.510703,-1.260236,-0.587098,-0.445539,-1.559921,2.07427,0.08659,-1.447866,-0.706178,0.001293,-1.790328,-1.702972,-0.225349,-1.305941,0.102948,-0.720028,-1.069534,2.237894,-0.311624,-0.295554,-0.092822,-0.111833,-0.434004,-1.471761,-0.008933,-1.470261,-0.151103,noncar
-0.069,-1.054,-1.874225,-0.383015,-2.581728,-0.292545,0.485236,-1.637957,-0.644786,-0.698845,-1.180427,-1.0441,-0.58377,-1.704616,2.559814,1.014425,-1.337808,0.426839,-0.080047,-2.048743,-1.837443,0.621711,-1.52794,0.054496,0.684627,-1.396636,1.840647,-0.614675,1.17538,0.063926,-0.266148,0.96733,-1.309937,-0.388001,-1.725058,-0.099066,car
0.025,-1.54,-0.130421,0.25327,-0.794564,-0.185711,-0.04291,-1.413345,-1.178712,0.849229,-0.546609,0.032851,0.081002,-0.54479,0.503817,0.122169,-0.645658,-0.100806,-0.098437,-0.151792,-0.598915,0.004472,-0.563481,-0.104201,0.919331,0.086688,1.806333,0.768851,-0.330997,0.276737,0.17645,-0.818038,-1.541761,0.193844,-1.714698,-0.397725,noncar
-0.003,0.768,1.12389,-0.05025,1.472645,-0.36437,-0.001786,0.603851,-0.336735,0.015403,0.323459,-0.643089,-0.2931,1.104826,-1.194218,0.618163,1.309833,-0.016435,0.755582,1.096367,0.980976,-0.075825,1.194748,-0.304349,-0.316594,0.763681,-0.260012,-0.166041,-1.081463,0.069508,-0.015035,1.033703,-0.262127,-0.070845,0.216056,-0.05986,car
0.03,-0.082,-0.515176,0.053594,-1.166763,-0.093868,-0.218846,-0.307172,0.754772,0.063774,0.098788,-0.080081,-0.666224,-1.074675,1.163085,-0.460897,-0.960222,-0.148924,0.24752,-0.427156,-0.869432,0.074609,-1.016585,0.656598,0.033218,-0.096852,-0.24841,-0.739563,0.130592,0.075962,-0.381257,-0.059777,0.57059,0.087177,0.793517,0.481923,noncar
0.879,-0.447,0.486591,0.0126,-0.308904,-0.049383,0.127665,-0.98543,-0.740378,-0.091451,0.551451,-0.276332,-0.035048,-0.362618,0.206677,-0.876721,-0.218473,0.125288,-0.148112,1.24364,-0.580464,-0.223831,-0.329872,0.03852,-0.347082,0.356351,0.48394,-0.078886,-1.06516,0.165122,0.220177,0.180411,-1.121375,0.07378,-0.530859,-0.850716,noncar
-0.246,0.282,-1.399273,0.368975,-0.546153,0.022604,0.744434,0.955266,1.531068,-0.121008,-0.7893,0.198509,-0.308445,-0.068001,-0.251207,0.474481,-0.272136,-0.221117,0.634383,-1.384843,-0.008237,0.066504,0.005403,0.734931,-0.012678,-1.217137,-0.0812,-0.167831,-1.112379,0.031116,0.011336,-1.072878,1.213805,0.003089,0.642288,-0.220535,noncar
-0.39,-1.054,0.1133,-0.022,-1.088817,0.255698,0.571844,-1.24036,-0.767402,0.264885,-0.166138,0.080196,0.057562,-0.48947,0.540585,0.029578,-0.613197,-0.302589,0.031507,-0.290369,-0.597628,-0.146774,-0.645785,-0.069495,-0.412695,0.30083,1.147898,-0.0141,-1.097555,0.022141,-0.066917,-0.237616,-1.585514,0.470938,-1.608132,0.208718,noncar
